Страна,Год,ВВП_млрд,Экспорт_млрд,Импорт_млрд
Brazil,2000,655.4481882593509,66.777376073331,81.61452958031461
Brazil,2001,559.9837040941701,69.279563683047,81.5592429449922
Brazil,2002,509.79527068519,72.54687620802851,68.2502036974473
Brazil,2003,558.233724164711,84.7442542379749,72.3448633874048
Brazil,2004,669.2893219445119,110.73901504692101,87.8943597437903
Brazil,2005,891.633826625407,135.919138201251,105.595890397488
Brazil,2006,1107.62671116323,159.21376690952602,129.23105709031302
Brazil,2007,1397.11424718889,186.202847701222,167.163829315927
Brazil,2008,1695.85539175796,229.517077426892,232.731883186608
Brazil,2009,1666.9962942521202,180.89195469663198,187.61383946485
Brazil,2010,2208.83810848435,240.003177242351,262.997371054402
Brazil,2011,2616.15660657921,303.01667066646996,323.144851604241
Brazil,2012,2465.22829370686,292.80845376678,326.315725034084
Brazil,2013,2472.81936204374,290.364152968201,347.27599253051
Brazil,2014,2456.04376603238,270.45813512304903,335.826235474104
Brazil,2015,1802.21199945642,232.48879769973098,253.27268322975
Brazil,2016,1795.69326599904,223.863316065497,216.686360894163
Brazil,2017,2063.51468880578,258.330740894672,243.51055019484102
Brazil,2018,1916.93370835271,280.54323855376504,272.994437656194
Brazil,2019,1873.28815883863,264.562972885655,276.634806846042
Brazil,2020,1476.1072921519499,242.87208103719502,233.941255872595
Brazil,2021,1670.64746406296,319.251213851504,309.85332103719395
Brazil,2022,1951.9238320838701,383.177580523381,374.482461947998
Brazil,2023,2191.13186970602,393.731591579688,343.939899556732
China,2000,1223.75491997105,253.092089737,224.30623815848
China,2001,1355.03659025152,272.06001051589004,243.973790217759
China,2002,1489.82168205054,333.002310923451,295.61963965943
China,2003,1683.9033098438501,447.95825378162,412.13712471532
China,2004,1984.19655130044,607.3569341247199,556.1825515847601
China,2005,2317.55129805205,773.33900539699,648.712207879781
China,2006,2791.49847280433,991.731387760501,782.8124632599
China,2007,3604.05582257163,1258.0567959406799,950.0207671573299
China,2008,4667.3464145219505,1497.8687829395901,1149.03624978566
China,2009,5189.57709499758,1262.66416101972,1042.53375965294
China,2010,6192.56487445329,1654.82332966386,1432.42243597706
China,2011,7671.75720785129,2006.30896097647,1825.4136392063701
China,2012,8673.66471318924,2175.06925466385,1943.2052328671498
China,2013,9743.12424726724,2354.2645396092003,2119.39242142769
China,2014,10674.5331682574,2462.8258048511602,2241.27619897927
China,2015,11280.8147874689,2362.0970532746,2003.2606960686699
China,2016,11456.024084962,2199.97485357014,1944.49053427523
China,2017,12537.5590622829,2424.2160520983502,2208.5189186322
China,2018,14147.765772963801,2655.60917608745,2564.12191099489
China,2019,14560.167101283401,2628.9411046576,2496.1533059029
China,2020,14996.4141667151,2729.88457516389,2374.73746277769
China,2021,18201.698719564,3554.10778095744,3093.27839724918
China,2022,18316.7650216902,3717.88781864697,3140.04086353623
China,2023,18270.3566545332,3490.08971236299,3106.45770427942
India,2000,468.395521654458,60.878472821200404,65.1242453750531
India,2001,485.44013920417103,60.9634155766447,65.2182764821322
India,2002,514.939140318756,73.4528959516331,78.4987592857313
India,2003,607.700687237318,90.8385752437621,95.0718693785573
India,2004,709.152728830775,126.648472020752,139.310848797436
India,2005,820.383763511445,160.838260680778,183.736617243328
India,2006,940.2598887877209,199.973922363783,229.955027127372
India,2007,1216.73643883496,253.077526013168,302.8039525525
India,2008,1198.8951390059199,288.902044820698,350.926955799106
India,2009,1341.8880169949,273.752124889211,347.17796796831595
India,2010,1675.61551948496,375.353514026267,449.974370198802
India,2011,1823.05182989455,447.384417625093,566.667744819908
India,2012,1827.63759041041,448.40047736125405,571.306554042386
India,2013,1856.72150762158,472.180271340149,527.555307105956
India,2014,2039.12647915452,468.345815420933,529.239428328665
India,2015,2103.58836004494,416.787940847812,465.097595426184
India,2016,2294.79688566316,439.64257807635795,480.16905576828196
India,2017,2651.47426275545,498.258808231521,582.018012521568
India,2018,2702.92964164874,538.635186135438,640.300806738542
India,2019,2835.60625655819,529.245063167215,602.315056052526
India,2020,2674.85157858727,499.72852907262904,510.244747372174
India,2021,3167.27062326047,677.769255428552,760.9028918060129
India,2022,3346.1072877309302,778.021514754531,897.550749081828
India,2023,3638.48909603386,780.408530088596,856.651130547122
Russia,2000,259.71014219694297,114.429434767153,62.417348027017404
Russia,2001,306.6020706205,113.116215289681,74.2509427494001
Russia,2002,345.470494417863,121.649122807018,84.40829346092501
Russia,2003,430.347420184885,151.69738718771399,102.75959308647799
Russia,2004,591.016690732385,203.415480735856,130.992710864283
Russia,2005,764.01597348111,268.957047128595,164.341230419182
Russia,2006,989.932071352543,333.90879423961496,207.914704586723
Russia,2007,1299.7034784816499,392.043343368837,279.98293254190804
Russia,2008,1660.84805830311,520.0042248633209,366.59742585113395
Russia,2009,1222.6459000557,341.584048925976,250.605238920116
Russia,2010,1524.91671522395,445.512969856508,322.366550354214
Russia,2011,2045.92275339804,573.99102406442,408.776142105219
Russia,2012,2208.29355387842,594.192620575645,447.04849387793297
Russia,2013,2292.4700783462204,592.496613389693,468.62243673615995
Russia,2014,2059.24158989501,558.282985966489,426.062113844975
Russia,2015,1363.48218219771,391.365600741085,281.640332372515
Russia,2016,1276.78635088114,330.10650974016,263.830495058506
Russia,2017,1574.199360089,410.722481424915,327.207464722169
Russia,2018,1657.32877346131,510.345505266608,344.519598182381
Russia,2019,1693.1150027083202,481.410680627341,352.088733268664
Russia,2020,1493.07589436214,381.06559958442796,305.25522617683697
Russia,2021,1829.1867195751001,548.800273711107,376.515695621301
Russia,2022,2291.61212133464,635.241831700755,345.173687961946
Russia,2023,2071.50572503058,465.93781583919395,379.94759353255296
South Africa,2000,151.752757215309,37.0342031531617,33.1070164851348
South Africa,2001,135.429905922526,35.694800701716005,30.8973641046692
South Africa,2002,129.087556612449,36.70109907770291,32.3162106063261
South Africa,2003,197.01896530869698,47.1176241273835,42.9670568051894
South Africa,2004,255.806908594573,58.2153052784397,58.5441134741233
South Africa,2005,288.867217196534,68.1719829516578,68.8313293480066
South Africa,2006,303.858675363643,79.3017963836635,84.077365459513
South Africa,2007,333.07711725368404,93.1249126198572,97.1458540473063
South Africa,2008,316.131258616309,101.96710583893,106.59898661493601
South Africa,2009,329.75406064712905,82.38162100642529,81.1352903120889
South Africa,2010,417.363822801713,107.610657455818,102.766114850772
South Africa,2011,458.199494830834,126.912776368754,123.43070532253101
South Africa,2012,434.40054508581096,117.892612029379,123.55858003142501
South Africa,2013,400.886013595573,113.768565563408,122.253185705996
South Africa,2014,381.198869776106,110.55003301242999,116.261670807052
South Africa,2015,346.70979045856296,96.0858976683633,100.591042327088
South Africa,2016,323.58550967448105,91.1090214089525,89.64991339878169
South Africa,2017,381.448814653456,104.288394992827,99.92378238400349
South Africa,2018,405.26072389251703,111.434691806498,109.373822794536
South Africa,2019,389.33003222426896,105.90605917862199,103.935027605427
South Africa,2020,337.974655408055,93.19960085922051,78.3551820041248
South Africa,2021,419.986284375368,131.000485997462,104.883607897811
South Africa,2022,407.59604306788503,136.705431596872,128.016518313047
South Africa,2023,381.440724491232,126.84358429622901,123.68621046420799
