Страна,Год,ВВП_млрд,Экспорт_млрд,Импорт_млрд,Население_млн
Brazil,2000,655.4481882593509,66.777376073331,81.61452958031461,174.018282
Brazil,2001,559.9837040941701,69.279563683047,81.5592429449922,176.301203
Brazil,2002,509.79527068519,72.54687620802851,68.2502036974473,178.503484
Brazil,2003,558.233724164711,84.7442542379749,72.3448633874048,180.622688
Brazil,2004,669.2893219445119,110.73901504692101,87.8943597437903,182.675143
Brazil,2005,891.633826625407,135.919138201251,105.595890397488,184.688101
Brazil,2006,1107.62671116323,159.21376690952602,129.23105709031302,186.653106
Brazil,2007,1397.11424718889,186.202847701222,167.163829315927,188.55232
Brazil,2008,1695.85539175796,229.517077426892,232.731883186608,190.367302
Brazil,2009,1666.9962942521202,180.89195469663198,187.61383946485,192.079951
Brazil,2010,2208.83810848435,240.003177242351,262.997371054402,193.701929
Brazil,2011,2616.15660657921,303.01667066646996,323.144851604241,195.284734
Brazil,2012,2465.22829370686,292.80845376678,326.315725034084,196.876111
Brazil,2013,2472.81936204374,290.364152968201,347.27599253051,198.478299
Brazil,2014,2456.04376603238,270.45813512304903,335.826235474104,200.085127
Brazil,2015,1802.21199945642,232.48879769973098,253.27268322975,201.675532
Brazil,2016,1795.69326599904,223.863316065497,216.686360894163,203.218114
Brazil,2017,2063.51468880578,258.330740894672,243.51055019484102,204.703445
Brazil,2018,1916.93370835271,280.54323855376504,272.994437656194,206.107261
Brazil,2019,1873.28815883863,264.562972885655,276.634806846042,207.455459
Brazil,2020,1476.1072921519499,242.87208103719502,233.941255872595,208.660842
Brazil,2021,1670.64746406296,319.251213851504,309.85332103719395,209.550294
Brazil,2022,1951.9238320838701,383.177580523381,374.482461947998,210.306415
Brazil,2023,2191.13186970602,393.731591579688,343.939899556732,211.140729
China,2000,1223.75491997105,253.092089737,224.30623815848,1262.645
China,2001,1355.03659025152,272.06001051589004,243.973790217759,1271.85
China,2002,1489.82168205054,333.002310923451,295.61963965943,1280.4
China,2003,1683.9033098438501,447.95825378162,412.13712471532,1288.4
China,2004,1984.19655130044,607.3569341247199,556.1825515847601,1296.075
China,2005,2317.55129805205,773.33900539699,648.712207879781,1303.72
China,2006,2791.49847280433,991.731387760501,782.8124632599,1311.02
China,2007,3604.05582257163,1258.0567959406799,950.0207671573299,1317.885
China,2008,4667.3464145219505,1497.8687829395901,1149.03624978566,1324.655
China,2009,5189.57709499758,1262.66416101972,1042.53375965294,1331.26
China,2010,6192.56487445329,1654.82332966386,1432.42243597706,1337.705
China,2011,7671.75720785129,2006.30896097647,1825.4136392063701,1345.035
China,2012,8673.66471318924,2175.06925466385,1943.2052328671498,1354.19
China,2013,9743.12424726724,2354.2645396092003,2119.39242142769,1363.24
China,2014,10674.5331682574,2462.8258048511602,2241.27619897927,1371.86
China,2015,11280.8147874689,2362.0970532746,2003.2606960686699,1379.86
China,2016,11456.024084962,2199.97485357014,1944.49053427523,1387.79
China,2017,12537.5590622829,2424.2160520983502,2208.5189186322,1396.215
China,2018,14147.765772963801,2655.60917608745,2564.12191099489,1402.76
China,2019,14560.167101283401,2628.9411046576,2496.1533059029,1407.745
China,2020,14996.4141667151,2729.88457516389,2374.73746277769,1411.1
China,2021,18201.698719564,3554.10778095744,3093.27839724918,1412.36
China,2022,18316.7650216902,3717.88781864697,3140.04086353623,1412.175
China,2023,18270.3566545332,3490.08971236299,3106.45770427942,1410.71
Egypt,2000,99.8385439600763,,22.7799794510495,73.083284
Egypt,2001,96.6846361185984,,21.590296495956903,74.652029
Egypt,2002,85.1460674157303,,19.3033707865169,76.239137
Egypt,2003,80.2884615384615,,19.576923076923098,77.853548
Egypt,2004,78.78246753246749,,23.3116883116883,79.477443
Egypt,2005,89.6603396603397,,29.2374292374292,81.101004
Egypt,2006,107.426086956522,,33.913043478260896,82.700403
Egypt,2007,130.437828371278,,45.4290718038529,84.276225
Egypt,2008,162.818181818182,,62.9090909090909,85.864789
Egypt,2009,189.147005444646,,59.764065335753195,87.501636
Egypt,2010,218.983666061706,,58.2214156079855,89.196072
Egypt,2011,235.989672977625,,58.2616179001721,91.093059
Egypt,2012,279.116666666667,,67.8666666666667,93.161001
Egypt,2013,288.434108527132,,67.3643410852713,95.333553
Egypt,2014,305.595408895265,,69.2969870875179,97.528654
Egypt,2015,329.366576819407,,71.34770889487869,99.597342
Egypt,2016,332.441717791411,,66.159509202454,101.644589
Egypt,2017,248.36277173913,,69.0896739130435,103.696057
Egypt,2018,262.58863252673,,73.3314575126618,105.682094
Egypt,2019,318.678815489749,,78.0125284738041,107.553158
Egypt,2020,383.817841547099,,75.4335620711167,109.315124
Egypt,2021,424.67176545570396,,81.94391332058639,110.957008
Egypt,2022,476.747720364742,,104.38905775075999,112.61825
Egypt,2023,395.926075163006,,84.5076866025298,114.535772
Ethiopia,2000,8.2423496178638,,,67.411494
Ethiopia,2001,8.23132601647494,,,69.487762
Ethiopia,2002,7.850809498168029,,,71.635517
Ethiopia,2003,8.623691300040791,,,73.832663
Ethiopia,2004,10.1311872614421,,,76.077206
Ethiopia,2005,12.401139453973801,,,78.36747
Ethiopia,2006,15.2808618346024,,,80.70349
Ethiopia,2007,19.7076167727996,,,83.103217
Ethiopia,2008,27.066912635222803,,,85.543668
Ethiopia,2009,32.437389116038,,,88.007636
Ethiopia,2010,29.9337903343418,,,90.538514
Ethiopia,2011,31.952763089330002,5.331910669975191,10.0798449131514,93.14997
Ethiopia,2012,43.3107214140829,5.96271616922631,13.6994436395248,95.798767
Ethiopia,2013,47.6482766050123,5.94844590095456,13.812145920328899,98.438751
Ethiopia,2014,55.6122282335179,6.4741642341889,16.1828604680423,101.11561
Ethiopia,2015,62.1034181818182,5.814937799043061,18.812870813397097,103.867135
Ethiopia,2016,68.475871209607,5.34937791266376,18.548030816593897,106.718162
Ethiopia,2017,76.3660817666667,5.82625453333333,17.926383870833302,109.666481
Ethiopia,2018,83.3379010719697,6.97761423863636,19.0232850151515,112.664152
Ethiopia,2019,91.834517112628,7.29162853924915,19.1707574948805,115.737383
Ethiopia,2020,98.6768110614035,7.0328935760233895,16.6555745146199,118.917671
Ethiopia,2021,109.07096037185899,8.32397850753769,18.2294094723618,122.138588
Ethiopia,2022,123.140304666,10.151637926,22.598141428,125.384287
Ethiopia,2023,135.874093202492,8.962144165109029,19.025475348909698,128.691692
India,2000,468.395521654458,60.878472821200404,65.1242453750531,1057.922733
India,2001,485.44013920417103,60.9634155766447,65.2182764821322,1077.898575
India,2002,514.939140318756,73.4528959516331,78.4987592857313,1097.60038
